Buy & Hold,Heuristic,News (LLM)
100000.0,100000.0,100000.0
100000.0,100000.0,100000.0
98425.15922891028,99005.36372352228,99005.36372352228
102314.94624959357,101462.07131553278,101462.07131553278
107350.69052087195,104642.54138160334,104642.54138160334
109190.80852853187,105804.72117591486,105804.72117591486
109793.26219903358,106185.21823096857,106185.21823096857
113132.96923505195,108294.50688529597,108294.50688529597
115673.78689633735,109899.2338292657,109899.2338292657
120932.15996610053,111170.07865953464,111170.07865953464
118803.91792165168,111170.07865953464,111170.07865953464
114796.27447949775,111170.07865953464,111170.07865953464
121829.326580633,111170.07865953464,111170.07865953464
130695.90778218635,111170.07865953464,111170.07865953464
131167.39598142036,109553.6164144616,109553.6164144616
131547.18959676154,109348.3946012597,109348.3946012597
134683.9095293177,107653.46523419427,107653.46523419427
138370.69694386848,105661.30642071771,105661.30642071771
130492.8894220484,109918.08662549066,109918.08662549066
132948.57640134223,108591.15401211786,108591.15401211786
142155.69283353217,103616.0805715661,103616.0805715661
147171.76415311225,100905.64203396844,103340.09936426379
143183.7749086512,103340.0950137403,103340.09936426379
143111.75952779182,103340.0950137403,103340.09936426379
150210.2631078852,103340.0950137403,103340.09936426379
150419.80786191352,103340.0950137403,103340.09936426379
151284.20497762092,103340.0950137403,103340.09936426379
144264.25567494758,103340.0950137403,103340.09936426379
147689.11214696296,103340.0950137403,103340.09936426379
155435.92919217475,103340.0950137403,103340.09936426379
154080.38967954047,103340.0950137403,103340.09936426379
149090.48644887336,103340.0950137403,103340.09936426379
145069.72770558723,103340.0950137403,103340.09936426379
140269.71503125556,103340.0950137403,103340.09936426379
140918.04099904426,103340.0950137403,103340.09936426379
159973.99842130073,103340.0950137403,103340.09936426379
157498.66974698432,103340.0950137403,103340.09936426379
158906.5829454554,103340.0950137403,103340.09936426379
157040.2968488825,103340.0950137403,103632.9144370198
153648.2098756922,103340.0950137403,104776.5471160054
157682.0339094294,103340.0950137403,103416.55457373855
161453.92700063117,103340.0950137403,102144.87131949661
159253.68207799323,103340.0950137403,102886.67776938675
157537.67807828315,103340.0950137403,103465.2237403035
163386.43974172004,103340.0950137403,101493.33002921341
158507.01010571845,103340.0950137403,103138.41614600418
155422.18875752814,103340.0950137403,104178.45507498978
155428.7401567591,103340.0950137403,104176.24628897903
162613.587177862,103340.0950137403,101753.89511939285
163694.267986883,103340.0950137403,101389.54659339187
172293.8296590937,103340.0950137403,98490.22831794021
173498.9620481623,103340.0950137403,98083.9212882161
174645.09433614142,103340.0950137403,97697.50597831009
176603.45009671577,103340.0950137403,97021.39517254749
178365.28888570197,103340.0950137403,97021.39517254749
183100.6002412928,103340.0950137403,97021.39517254749
180402.17391835578,103855.52240861097,97505.35294889138
178777.90201054938,104423.70783723035,98038.84759687111
177985.3702436579,104700.94282448926,98299.15589498208
181744.84818326362,103385.8424559895,97064.34948705361
184358.1063161982,102471.7004424397,96206.02076696084
186938.63245831855,101569.00838387647,95358.44292043374
188169.9454389704,101138.28364480176,94954.01624654458
184816.5792356623,102311.32234872022,96055.43461965249
181070.2165971888,103621.8348628346,97285.93328641579
182091.95981847175,103264.41957581678,96950.34012769387
185641.8304906977,102022.64178002515,95784.37955449746
182956.5194688929,102961.98856461683,96666.37415860817
178542.12665425666,104506.18425095716,98116.28838132546
178332.5318895472,104579.50245011487,98185.13010953591
180264.63204251655,104801.24598015245,98393.37862786869
181862.74836408027,105771.52950247275,99304.19845165288
186218.19108830817,106961.74139574738,100421.46836499308
187947.2603784693,108233.17239898295,101614.82428743294
182530.778540243,106295.4683698997,99796.10933305672
182629.02452336677,106330.61510223002,99829.09780122689
182124.71681462653,106150.20296233744,99659.76427461556
176878.52134572394,104273.41755050272,97898.22709276131
181561.45901547797,105948.70188850016,99470.63682748727
183329.82419835456,106581.32070678324,100064.40826417855
186755.26829587348,107806.74655097575,101214.58407785348
194359.29234372504,110787.80690190931,104012.58571214121
189774.6006570948,111809.49910330623,104971.6623362406
187102.3799310816,113307.3522197147,106377.7178080526
185530.51921712287,113020.86507132594,106108.8301549473
192852.87060605414,114132.56171990307,107152.23298988114
195937.70445691474,112555.82019338208,105672.06688185959
192138.96813260444,113946.66186818677,106977.71950408249
194195.55737363227,113193.67724904614,106270.85519286423
192184.84042989142,113929.86651906568,106961.95287009506
190626.03250371345,114500.59710988599,107497.72621222763
194640.9024892939,113030.62182912427,106117.78691741257
196343.80369054206,112407.13397512036,105532.4876944664
202664.1035638941,110093.06537160474,103360.1557929161
212488.46432553657,106496.04541310864,99983.4533068779
209776.96020947822,107488.81579885083,100915.41650649338
209200.59961186774,107699.84027394849,101113.5157324913
206004.39197408088,108870.07648000318,102212.07497092514
205021.95714818366,109229.77801808911,102549.74478980331
253763.77980100043,89989.30718057448,84487.75279108646
260090.63107358344,89989.30718057448,84487.75279108646
267720.91072904,89989.30718057448,84487.75279108646
252807.52556668647,89989.30718057448,84487.75279108646
265487.48371945746,89989.30718057448,84487.75279108646
262586.0640417231,89989.30718057448,84487.75279108646
261564.27080975898,89989.30718057448,84487.75279108646
258178.1476102961,89989.30718057448,84487.75279108646
250481.62880765327,89989.30718057448,84487.75279108646
257261.12675534614,89989.30718057448,84487.75279108646
258964.21549664863,89989.30718057448,84487.75279108646
263627.93656216987,89989.30718057448,84487.75279108646
273715.3159986628,89989.30718057448,84487.75279108646
286652.07899915107,89989.30718057448,84487.75279108646
284398.7727438105,89989.30718057448,84487.75279108646
284654.1772924555,89989.30718057448,84487.75279108646
291964.28856717475,89989.30718057448,84487.75279108646
286966.4461408747,89989.30718057448,84487.75279108646
286835.44316159614,89989.30718057448,84487.75279108646
281490.4515920771,89989.30718057448,84487.75279108646
271160.7454000605,89989.30718057448,84487.75279108646
279309.21072827704,89989.30718057448,84487.75279108646
274337.5989042414,90032.12271589947,84527.95486871639
272405.2111898554,90032.12271589947,84527.95486871639
282099.6316991938,90032.12271589947,84527.95486871639
282826.661976446,90110.14947068888,84601.18942911715
282197.8776823176,90231.97343003946,84715.5312870273
280796.1783109797,90503.54600084024,84970.42459757418
283416.2128912104,89995.9267915507,84493.98200113863
281300.4860197199,90405.83878648478,84878.71829874605
282774.25078259833,90120.30388963419,84610.7201908359
292579.9450575007,88220.4973710795,82827.59470255465
306171.77296506293,85587.14551103312,80355.97626383395
302844.1622625483,86231.85422074991,80961.08869059176
309342.0500646723,84972.91943681437,79779.47431070895
316108.44521390327,83661.9626344462,78549.0329654941
313376.96183072455,84191.17451799112,79045.74207193941
303178.2836233271,86167.11979997355,80900.33008463473
295245.88944302924,87703.98335588175,82342.80359537691
297230.6633459223,87319.44287431437,81981.88056070895
304219.7810636652,85965.33463609415,80710.93802530855
302732.86349164374,86253.41782701212,80981.32791788668
